02:05:37.341 PCB:10617.63 TB:57.68 TS:73 Ratio:-1.27 Diff:0 Spread:0.0247 BP:10615 BDF:-0.5
02:05:38.332 PCB:10617.67 TB:59.31 TS:63.8 Ratio:-1.08 Diff:0.05 Spread:0.0251 BP:10615 BDF:0
02:05:39.334 PCB:10617.69 TB:60.11 TS:75.56 Ratio:-1.26 Diff:0.02 Spread:0.0253 BP:10615 BDF:0
02:05:40.331 PCB:10617.69 TB:58.11 TS:73.21 Ratio:-1.26 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:41.340 PCB:10617.69 TB:58.11 TS:75.56 Ratio:-1.3 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:42.333 PCB:10617.69 TB:58.39 TS:75.56 Ratio:-1.29 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:43.339 PCB:10617.69 TB:58.39 TS:75.56 Ratio:-1.29 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:44.336 PCB:10617.69 TB:55.29 TS:75.56 Ratio:-1.37 Diff:0 Spread:0.0206 BP:10615.5 BDF:0.5
02:05:45.335 PCB:10617.69 TB:55.29 TS:75.56 Ratio:-1.37 Diff:0 Spread:0.0253 BP:10615 BDF:-0.5
02:05:46.331 PCB:10617.69 TB:55.29 TS:75.56 Ratio:-1.37 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:47.333 PCB:10617.69 TB:55.29 TS:75.56 Ratio:-1.37 Diff:0 Spread:0.0206 BP:10615.5 BDF:0.5
02:05:48.334 PCB:10617.69 TB:55.29 TS:75.56 Ratio:-1.37 Diff:0 Spread:0.0206 BP:10615.5 BDF:0
02:05:49.332 PCB:10617.69 TB:54.43 TS:75.56 Ratio:-1.39 Diff:0 Spread:0.0253 BP:10615 BDF:-0.5
02:05:50.334 PCB:10617.69 TB:54.43 TS:75.56 Ratio:-1.39 Diff:0 Spread:0.0253 BP:10615 BDF:0
02:05:51.340 PCB:10617.58 TB:53.53 TS:75.54 Ratio:-1.41 Diff:-0.11 Spread:0.0243 BP:10615 BDF:0
02:05:52.332 PCB:10617.13 TB:56.5 TS:75.54 Ratio:-1.34 Diff:-0.45 Spread:0.0201 BP:10615 BDF:0
02:05:53.338 PCB:10617.13 TB:56.5 TS:75.54 Ratio:-1.34 Diff:0 Spread:0.0201 BP:10615 BDF:0
02:05:54.331 PCB:10617.14 TB:57.02 TS:75.53 Ratio:-1.32 Diff:0.01 Spread:0.0154 BP:10615.5 BDF:0.5
02:05:55.335 PCB:10617.14 TB:57.02 TS:75.53 Ratio:-1.32 Diff:0 Spread:0.0154 BP:10615.5 BDF:0
